Entity,Country,Product,Forecast_Category,Submission date,Committ,Quarter,Forecast_Value,Submission_quarter
Spain,Country,Shield,Volume,2023-12-09,First submission,Q2 2024,0.0,Q1_2024
South,Country,G360CDx,Volume,2023-12-09,First submission,Q2 2024,107.0,Q1_2024
South,Country,G360 Infinity,Volume,2023-12-09,First submission,Q2 2024,18.0,Q1_2024
South,Country,Reveal,Volume,2023-12-09,First submission,Q2 2024,5.0,Q1_2024
South,Country,Shield,Volume,2023-12-09,First submission,Q2 2024,0.0,Q1_2024
RestEUAA,Country,G360CDx,Volume,2023-12-09,First submission,Q2 2024,5,Q1_2024
RestEUAA,Country,G360 Infinity,Volume,2023-12-09,First submission,Q2 2024,0,Q1_2024
RestEUAA,Country,Reveal,Volume,2023-12-09,First submission,Q2 2024,0,Q1_2024
RestEUAA,Country,Shield,Volume,2023-12-09,First submission,Q2 2024,10,Q1_2024
United,Country,G360CDx,Volume,2023-12-09,First submission,Q2 2024,152.0,Q1_2024
United,Country,G360 Infinity,Volume,2023-12-09,First submission,Q2 2024,5.0,Q1_2024
United,Country,Reveal,Volume,2023-12-09,First submission,Q2 2024,5.0,Q1_2024
United,Country,Shield,Volume,2023-12-09,First submission,Q2 2024,0.0,Q1_2024
 ProspectivePaid,Country,G360CDx,Volume,2023-12-09,First submission,Q2 2024,45.0,Q1_2024
 ProspectivePaid,Country,G360 Infinity,Volume,2023-12-09,First submission,Q2 2024,52.0,Q1_2024
 ProspectivePaid,Country,Reveal,Volume,2023-12-09,First submission,Q2 2024,0.0,Q1_2024
 ProspectivePaid,Country,Shield,Volume,2023-12-09,First submission,Q2 2024,0.0,Q1_2024
RetrospectivePaid,Country,G360CDx,Volume,2023-12-09,First submission,Q2 2024,50.0,Q1_2024
RetrospectivePaid,Country,G360 Infinity,Volume,2023-12-09,First submission,Q2 2024,0.0,Q1_2024
RetrospectivePaid,Country,Reveal,Volume,2023-12-09,First submission,Q2 2024,60.0,Q1_2024
RetrospectivePaid,Country,Shield,Volume,2023-12-09,First submission,Q2 2024,0.0,Q1_2024
Italy,Country,G360CDx,Volume,2023-12-09,First submission,Q2 2024,80.0,Q1_2024
Italy,Country,G360 Infinity,Volume,2023-12-09,First submission,Q2 2024,0.0,Q1_2024
Italy,Country,Reveal,Volume,2023-12-09,First submission,Q2 2024,0.0,Q1_2024
Italy,Country,Shield,Volume,2023-12-09,First submission,Q2 2024,0.0,Q1_2024
Turkey,Country,G360CDx,Volume,2023-12-09,First submission,Q2 2024,40.0,Q1_2024
